OrderDetailID,OrderID,ProductName,Quantity,Price
OD3001,O6117,Clothes,2,16343
OD3002,O6641,Mobile,3,8132
OD3003,O5217,Earphones,3,13007
OD3004,O4933,Mouse,1,823
OD3005,O3662,Keyboard,1,19246
OD3006,O4364,Washing Machine,4,9436
OD3007,O5715,AC,3,773
OD3008,O4608,Charger,2,15774
OD3009,O5749,Earphones,4,6936
OD3010,O5975,Laptop,1,2716
OD3011,O2936,Laptop,3,6419
OD3012,O2254,Clothes,2,17752
OD3013,O4893,Charger,3,1896
OD3014,O6225,Charger,4,18627
OD3015,O2209,Charger,3,4084
OD3016,O3407,Charger,4,3904
OD3017,O5208,Washing Machine,3,8129
OD3018,O3126,TV,2,11102
OD3019,O6664,Mouse,1,14274
OD3020,O2049,TV,4,10335
OD3021,O5236,Shoes,4,889
OD3022,O3961,Keyboard,3,14110
OD3023,O3154,Mouse,3,12329
OD3024,O5786,Charger,2,9852
OD3025,O4253,Mouse,4,8508
OD3026,O5126,Earphones,4,17993
OD3027,O6575,Earphones,2,18469
OD3028,O3062,Earphones,3,7185
OD3029,O5176,Shoes,3,9753
OD3030,O4639,Earphones,1,17067
OD3031,O2969,AC,2,8857
OD3032,O5474,Laptop,3,17021
OD3033,O3713,Shoes,2,17127
OD3034,O4158,Clothes,3,19664
OD3035,O3357,Washing Machine,4,12692
OD3036,O2202,Mouse,4,6068
OD3037,O5503,Laptop,2,8587
OD3038,O3047,Mouse,1,18798
OD3039,O2078,Mouse,3,3916
OD3040,O6927,Earphones,2,16003
OD3041,O2605,Laptop,2,2377
OD3042,O3762,Mobile,2,14026
OD3043,O4738,Charger,4,712
OD3044,O6196,Mobile,3,17060
OD3045,O4116,Earphones,2,19127
OD3046,O2541,Washing Machine,2,5863
OD3047,O4986,Shoes,3,16106
OD3048,O2423,Keyboard,3,8667
OD3049,O4816,Clothes,1,1675
OD3050,O4970,Shoes,3,6272
OD3051,O3033,AC,3,16562
OD3052,O6723,Laptop,1,16942
OD3053,O2864,Laptop,1,462
OD3054,O2606,Clothes,2,8369
OD3055,O5788,Shoes,2,3643
OD3056,O6321,AC,2,6416
OD3057,O5135,TV,1,14859
OD3058,O3095,Charger,3,16726
OD3059,O5636,Mouse,3,17065
OD3060,O4632,Washing Machine,1,6571
OD3061,O3049,TV,1,12363
OD3062,O3631,Washing Machine,4,18044
OD3063,O5709,Mobile,1,15078
OD3064,O3414,Laptop,1,4730
OD3065,O3083,Laptop,2,14288
OD3066,O6695,Laptop,4,12247
OD3067,O6901,AC,2,17191
OD3068,O3142,Washing Machine,3,3559
OD3069,O6392,Clothes,2,16925
OD3070,O5057,Washing Machine,1,17980
OD3071,O3898,Charger,1,17864
OD3072,O4406,Washing Machine,2,11716
OD3073,O2956,Mobile,3,5273
OD3074,O3764,Mobile,1,18065
OD3075,O2585,AC,3,15286
OD3076,O3379,TV,1,6786
OD3077,O5987,AC,1,16984
OD3078,O3761,TV,1,17144
OD3079,O4948,Mobile,4,19300
OD3080,O6308,Clothes,3,4555
OD3081,O6321,Mouse,4,14935
OD3082,O5045,Shoes,2,17809
OD3083,O3744,Laptop,1,10072
OD3084,O4180,Clothes,1,10252
OD3085,O6717,AC,3,7509
OD3086,O5143,Charger,3,11551
OD3087,O5137,Earphones,4,14383
OD3088,O2046,Earphones,2,9097
OD3089,O2188,Shoes,2,2286
OD3090,O3104,Laptop,4,4477
OD3091,O5971,AC,2,11586
OD3092,O6040,Earphones,4,18726
OD3093,O4600,Mouse,2,13849
OD3094,O2100,AC,2,16367
OD3095,O6577,Clothes,2,1773
OD3096,O4801,Mobile,4,13376
OD3097,O5912,Mobile,4,1650
OD3098,O6040,Laptop,4,1326
OD3099,O5156,Washing Machine,2,19257
OD3100,O2693,TV,4,19561
OD3101,O3148,Clothes,4,4578
OD3102,O4014,Charger,3,16752
OD3103,O2469,Mobile,2,19713
OD3104,O3157,TV,2,18134
OD3105,O2836,AC,3,16989
OD3106,O2269,Mouse,2,3501
OD3107,O4447,Washing Machine,4,10212
OD3108,O2072,Mouse,1,4430
OD3109,O6604,Mouse,4,7322
OD3110,O6402,Clothes,4,8858
OD3111,O4097,Washing Machine,3,17685
OD3112,O2657,Earphones,4,6126
OD3113,O3811,TV,2,13346
OD3114,O2069,Earphones,1,7117
OD3115,O5993,Shoes,4,4445
OD3116,O6913,TV,3,10362
OD3117,O2877,Keyboard,3,8288
OD3118,O5598,Charger,3,19281
OD3119,O2723,AC,2,13614
OD3120,O5554,Laptop,4,8747
OD3121,O6489,Mouse,2,13463
OD3122,O6209,Charger,4,1066
OD3123,O3847,Charger,4,9506
OD3124,O6038,AC,2,18759
OD3125,O3047,Shoes,4,12305
OD3126,O5632,Mouse,2,13066
OD3127,O3303,Keyboard,2,9742
OD3128,O5805,Mobile,3,11069
OD3129,O2143,Earphones,1,8320
OD3130,O3328,Charger,3,19380
OD3131,O5809,AC,1,6030
OD3132,O4049,Washing Machine,4,15754
OD3133,O5455,Mobile,1,11296
OD3134,O5091,Charger,2,1994
OD3135,O4091,Mobile,4,11296
OD3136,O2627,Clothes,4,1670
OD3137,O5267,Mouse,3,18143
OD3138,O5116,Charger,1,11513
OD3139,O5873,Earphones,2,19071
OD3140,O2218,Washing Machine,1,5528
OD3141,O3923,Mouse,1,15724
OD3142,O6229,Mouse,2,317
OD3143,O4073,Laptop,4,15357
OD3144,O2511,Charger,3,12473
OD3145,O6147,Mouse,3,12525
OD3146,O2570,Shoes,3,5560
OD3147,O3637,Laptop,2,14881
OD3148,O4115,Laptop,3,13032
OD3149,O2417,Laptop,3,14168
OD3150,O3705,Charger,4,14414
OD3151,O6212,TV,4,17113
OD3152,O4961,Shoes,4,11938
OD3153,O5334,Shoes,3,9822
OD3154,O3731,Washing Machine,1,6451
OD3155,O3553,Keyboard,3,15492
OD3156,O4962,Earphones,3,12367
OD3157,O4587,TV,2,3383
OD3158,O2440,Charger,1,17898
OD3159,O5948,Earphones,4,8193
OD3160,O2017,Earphones,2,1495
OD3161,O5359,AC,2,8551
OD3162,O6685,Mouse,4,10162
OD3163,O5063,TV,3,11582
OD3164,O2440,Mouse,1,8782
OD3165,O4727,Clothes,3,17872
OD3166,O5240,Shoes,4,10803
OD3167,O2730,Keyboard,2,19800
OD3168,O3948,Keyboard,4,4025
OD3169,O2725,Earphones,1,2783
OD3170,O3185,TV,2,17349
OD3171,O6175,Charger,4,2839
OD3172,O3647,Mouse,4,9549
OD3173,O4536,Keyboard,2,14967
OD3174,O3121,Washing Machine,4,13626
OD3175,O5044,Charger,2,17820
OD3176,O2719,Laptop,4,8955
OD3177,O4468,Mobile,2,7728
OD3178,O2348,Clothes,4,8210
OD3179,O5322,TV,1,8204
OD3180,O3115,Keyboard,1,13797
OD3181,O3239,Clothes,2,5874
OD3182,O5824,TV,3,13248
OD3183,O2687,Charger,3,1558
OD3184,O4414,Charger,4,9927
OD3185,O3930,Washing Machine,2,5112
OD3186,O4059,Charger,4,6811
OD3187,O4316,Earphones,4,19716
OD3188,O3432,Shoes,3,15169
OD3189,O5755,Earphones,2,1597
OD3190,O3722,Mouse,3,1792
OD3191,O2461,Earphones,3,13887
OD3192,O2107,Mobile,3,6574
OD3193,O2806,Keyboard,2,3255
OD3194,O2930,AC,1,2311
OD3195,O5160,Mobile,1,13811
OD3196,O4122,Washing Machine,1,10628
OD3197,O4520,AC,4,16093
OD3198,O6214,Earphones,2,18893
OD3199,O4315,TV,3,14950
OD3200,O4487,AC,4,8182
OD3201,O6536,Charger,4,13923
OD3202,O5337,Clothes,1,8227
OD3203,O6782,Clothes,1,7307
OD3204,O3268,Mobile,3,5994
OD3205,O2686,TV,2,10533
OD3206,O2446,Earphones,4,16003
OD3207,O2595,Earphones,1,10645
OD3208,O2505,TV,2,13408
OD3209,O4725,Clothes,2,9908
OD3210,O2677,Shoes,3,16759
OD3211,O5485,Keyboard,4,18341
OD3212,O2879,Laptop,2,15579
OD3213,O4803,Laptop,3,17421
OD3214,O6537,Washing Machine,4,16926
OD3215,O6321,Keyboard,3,12461
OD3216,O3891,Keyboard,2,16596
OD3217,O3346,Keyboard,1,16142
OD3218,O2245,Charger,1,16007
OD3219,O2608,Laptop,3,14480
OD3220,O2745,Earphones,2,3483
OD3221,O6078,AC,3,18651
OD3222,O3845,Shoes,1,19130
OD3223,O5589,Clothes,4,13388
OD3224,O2440,Clothes,1,11702
OD3225,O3678,Washing Machine,3,13594
OD3226,O3380,Mobile,3,873
OD3227,O4921,TV,2,2609
OD3228,O5309,Washing Machine,1,4510
OD3229,O5772,Clothes,1,6146
OD3230,O6191,Clothes,1,9538
OD3231,O2045,Mouse,1,19124
OD3232,O4348,Washing Machine,3,10510
OD3233,O3864,Clothes,3,2460
OD3234,O3798,Shoes,4,5072
OD3235,O3493,AC,1,16740
OD3236,O4106,Charger,3,3307
OD3237,O3163,Earphones,4,3190
OD3238,O2092,TV,2,12894
OD3239,O4013,Charger,4,19370
OD3240,O3203,Mouse,2,465
OD3241,O5523,Keyboard,4,11121
OD3242,O4323,Earphones,4,11023
OD3243,O2050,Keyboard,3,19286
OD3244,O2783,Laptop,1,1633
OD3245,O4460,Clothes,4,6029
OD3246,O2217,Laptop,4,9829
OD3247,O4410,Mouse,1,687
OD3248,O3609,Washing Machine,4,17431
OD3249,O2255,Washing Machine,4,1167
OD3250,O5946,Laptop,1,5387
OD3251,O3016,Shoes,4,6573
OD3252,O3777,Mobile,4,4231
OD3253,O2598,TV,2,11507
OD3254,O4445,TV,1,5793
OD3255,O5148,TV,1,14446
OD3256,O5675,Earphones,1,5259
OD3257,O6375,Mobile,3,13550
OD3258,O6453,Earphones,1,18801
OD3259,O4346,Charger,4,2659
OD3260,O6194,Earphones,1,10599
OD3261,O5091,Washing Machine,4,4199
OD3262,O6048,Charger,4,13086
OD3263,O4114,Charger,4,233
OD3264,O5449,Earphones,1,1426
OD3265,O4999,Earphones,3,17387
OD3266,O2056,Washing Machine,2,16801
OD3267,O5810,Earphones,3,16095
OD3268,O3742,AC,3,18033
OD3269,O4901,AC,4,3299
OD3270,O5676,Keyboard,1,17572
OD3271,O5827,Earphones,3,7676
OD3272,O4478,Mobile,4,14011
OD3273,O3925,AC,3,14501
OD3274,O3509,Washing Machine,4,4560
OD3275,O6300,TV,3,5444
OD3276,O4443,Clothes,2,9414
OD3277,O2309,Laptop,3,2494
OD3278,O2216,Charger,4,7102
OD3279,O6413,Clothes,4,18161
OD3280,O3558,Mobile,1,7489
OD3281,O4224,AC,2,11594
OD3282,O4162,Clothes,2,13347
OD3283,O5323,Earphones,2,9594
OD3284,O2378,Charger,1,12246
OD3285,O5799,AC,1,17407
OD3286,O4874,TV,4,1558
OD3287,O6702,Washing Machine,3,12945
OD3288,O2847,TV,3,13289
OD3289,O6717,TV,1,11083
OD3290,O6151,Mouse,4,11861
OD3291,O5098,TV,2,4386
OD3292,O4539,Keyboard,4,3174
OD3293,O2378,Mobile,4,6999
OD3294,O5206,Keyboard,4,19358
OD3295,O6288,Shoes,4,3580
OD3296,O2448,Clothes,2,13744
OD3297,O3132,Shoes,4,12093
OD3298,O4764,Clothes,2,16065
OD3299,O3229,Laptop,2,13294
OD3300,O6414,TV,1,17844
OD3301,O5427,Washing Machine,2,2119
OD3302,O6526,TV,2,8650
OD3303,O6968,Washing Machine,2,8419
OD3304,O6902,Keyboard,4,6393
OD3305,O6046,Charger,3,12942
OD3306,O3358,Shoes,4,10122
OD3307,O6230,Keyboard,3,8647
OD3308,O4533,TV,2,14617
OD3309,O6830,Mouse,2,12425
OD3310,O5061,AC,4,17719
OD3311,O4363,Shoes,2,17479
OD3312,O2175,AC,4,13859
OD3313,O5004,Shoes,3,9186
OD3314,O5418,TV,3,8601
OD3315,O2007,Keyboard,2,1358
OD3316,O5958,Shoes,2,16503
OD3317,O5839,Charger,1,1868
OD3318,O3738,AC,4,5280
OD3319,O3568,TV,3,11012
OD3320,O5417,Mobile,4,19148
OD3321,O3008,Mouse,3,6625
OD3322,O2167,Mouse,3,7721
OD3323,O6771,Mouse,3,14460
OD3324,O2652,Clothes,3,18218
OD3325,O5185,Washing Machine,2,8429
OD3326,O5502,TV,4,1559
OD3327,O2926,Laptop,3,4940
OD3328,O2781,Mobile,2,4750
OD3329,O6640,Clothes,2,8530
OD3330,O2182,Earphones,3,7304
OD3331,O2200,AC,2,18883
OD3332,O2111,TV,4,15483
OD3333,O2933,AC,1,4725
OD3334,O4318,Earphones,1,1017
OD3335,O2043,Washing Machine,1,17702
OD3336,O3043,Shoes,2,8894
OD3337,O6305,Charger,2,1378
OD3338,O2010,Earphones,4,16921
OD3339,O6743,Washing Machine,2,344
OD3340,O3079,Mobile,1,8534
OD3341,O5067,Laptop,2,7004
OD3342,O2444,Charger,4,19687
OD3343,O6539,Mouse,1,5301
OD3344,O4684,Keyboard,4,15002
OD3345,O5776,AC,1,6904
OD3346,O4825,Mouse,2,19984
OD3347,O5640,AC,2,9466
