OrderID,CustomerID,OrderDate,OrderAmount
O2001,C1611,2024-03-26,15404
O2002,C1724,2024-01-03,9014
O2003,C1215,2023-06-10,13861
O2004,C1319,2024-02-21,17279
O2005,C1367,2025-01-31,11555
O2006,C1046,2025-11-26,10996
O2007,C1877,2024-10-23,397
O2008,C1630,2024-05-26,15173
O2009,C1561,2022-12-25,9203
O2010,C1804,2024-10-18,19213
O2011,C1240,2024-07-18,10091
O2012,C1904,2022-12-16,12981
O2013,C1656,2024-11-03,16907
O2014,C1855,2025-02-03,10313
O2015,C1992,2024-04-21,15615
O2016,C1835,2023-01-03,18749
O2017,C1582,2025-07-24,6560
O2018,C1047,2024-05-25,2916
O2019,C1117,2025-05-13,3418
O2020,C1438,2025-09-24,2945
O2021,C1941,2023-02-24,3546
O2022,C1312,2022-12-12,13597
O2023,C1235,2024-12-26,12038
O2024,C1989,2023-12-21,19490
O2025,C1324,2025-08-14,13752
O2026,C1260,2024-03-21,19589
O2027,C1002,2024-07-16,10216
O2028,C1821,2024-06-11,5054
O2029,C1521,2023-02-14,10625
O2030,C1034,2023-09-22,3063
O2031,C1132,2025-08-29,8084
O2032,C1778,2024-06-19,3986
O2033,C1197,2023-08-14,18055
O2034,C1165,2024-01-10,8766
O2035,C1305,2023-02-11,15379
O2036,C1975,2024-04-29,11226
O2037,C1265,2024-11-06,5438
O2038,C1721,2023-12-23,17003
O2039,C1523,2025-06-09,4106
O2040,C1305,2023-01-10,10156
O2041,C1251,2025-10-13,3108
O2042,C1522,2025-04-04,3078
O2043,C1235,2023-01-29,10939
O2044,C1422,2023-06-14,7565
O2045,C1515,2024-08-15,5916
O2046,C1383,2024-12-12,12611
O2047,C1938,2023-04-04,18313
O2048,C1292,2024-07-15,7688
O2049,C1279,2022-12-16,16265
O2050,C1813,2025-03-16,14448
O2051,C1187,2024-12-31,8835
O2052,C1021,2023-04-23,7107
O2053,C1548,2025-02-05,16991
O2054,C1479,2025-01-01,4995
O2055,C1497,2025-03-26,2318
O2056,C1208,2025-01-19,7768
O2057,C1454,2023-03-15,5923
O2058,C1771,2025-03-06,17809
O2059,C1085,2023-01-30,14263
O2060,C1872,2025-05-21,16524
O2061,C1493,2023-09-20,16195
O2062,C1673,2024-08-19,5318
O2063,C1526,2024-01-03,10970
O2064,C1851,2025-05-28,15313
O2065,C1625,2024-06-08,1173
O2066,C1944,2023-09-03,1621
O2067,C1774,2024-03-14,15818
O2068,C1344,2025-05-18,14813
O2069,C1441,2024-12-18,7288
O2070,C1819,2025-09-05,12068
O2071,C1894,2023-09-18,6140
O2072,C1422,2024-09-24,5954
O2073,C1394,2025-04-10,19522
O2074,C1346,2023-06-13,16122
O2075,C1463,2024-09-05,14496
O2076,C1637,2023-03-03,7063
O2077,C1508,2023-04-03,13338
O2078,C1069,2024-09-27,11620
O2079,C1218,2025-09-20,15896
O2080,C1122,2024-12-05,5313
O2081,C1768,2024-12-08,12679
O2082,C1263,2025-10-16,12196
O2083,C1939,2025-06-08,6843
O2084,C1674,2024-12-27,15953
O2085,C1399,2025-11-23,537
O2086,C1328,2023-10-22,18397
O2087,C1647,2024-09-07,19723
O2088,C1267,2025-05-20,3607
O2089,C1205,2023-05-23,2664
O2090,C1650,2023-10-13,12937
O2091,C1199,2025-04-24,773
