RatingID,CustomerID,ProductName,Rating,ReviewDate,ReviewText
R4001,C1581,Shoes,3,2023-02-27,Become voice list program without seem research together.
R4002,C1839,AC,4,2025-04-09,Serve unit whom knowledge protect serve nice so.
R4003,C1209,TV,2,2023-02-22,Machine arm wall apply every number raise water gas meet.
R4004,C1513,Mobile,2,2025-04-30,Family reduce rather gun size employee director would write when able even into.
R4005,C1759,TV,1,2025-09-12,Speech individual point car big its lawyer five care.
R4006,C1578,AC,4,2025-09-26,Sort cover would as prevent science statement program.
R4007,C1439,AC,5,2023-02-24,Network professional shake thought this unit phone.
R4008,C1166,Clothes,1,2025-02-04,Team stuff where forward save increase piece.
R4009,C1463,Charger,3,2023-11-29,Teacher nothing cell party feel seat season more through born.
R4010,C1353,TV,1,2024-02-12,Moment heart receive four spend watch energy admit travel let smile.
R4011,C1089,Clothes,5,2024-11-21,Show own hope cup require five represent unit positive radio audience morning.
R4012,C1383,AC,1,2025-06-21,Tend on time particular most generation.
R4013,C1508,Earphones,3,2024-05-15,Capital over give information civil top arm.
R4014,C1821,Earphones,3,2024-05-03,Natural thousand could south huge government nation identify such.
R4015,C1558,Shoes,1,2024-01-29,Ten society new find should soldier.
R4016,C1142,Clothes,1,2025-11-01,Add skill then environmental wait because child cover those stop.
R4017,C1698,Clothes,2,2025-03-13,Mean training site they thousand everything.
R4018,C1083,Charger,4,2024-04-09,Stay structure role later message data.
R4019,C1656,AC,2,2023-09-12,Thought next writer anything good sound economic.
R4020,C1783,Washing Machine,2,2024-04-23,Yet both here shake both party shoulder cost explain.
R4021,C1559,Charger,4,2025-11-25,House expect until bit site provide cut attack brother agreement.
R4022,C1835,TV,3,2023-06-26,Rate series American note company skin color case major.
R4023,C1060,Washing Machine,5,2024-08-06,Say sell inside green even happy.
R4024,C1515,Shoes,2,2024-04-30,Guess her exist pick structure response year wait final.
R4025,C1363,TV,4,2023-12-09,Operation fish local training now price happen.
R4026,C1596,Mouse,1,2025-07-05,Experience reason task assume whole case.
R4027,C1367,Earphones,3,2024-07-14,Paper partner too special special light reduce party heart.
R4028,C1916,TV,4,2025-06-15,Mother federal meet light say reveal.
