RatingID,CustomerID,ProductName,Rating,ReviewDate,ReviewText
R5001,C1619,Shoes,2,10-06-2025,Everyone cut more trouble pay thought drug each charge.
R5002,C1095,Earphones,4,07-04-2024,Be tough consider last population she.
R5003,C1630,Shoes,1,09-07-2023,Fear Mr television our doctor near especially.
R5004,C1706,Washing Machine,3,10-12-2024,President lead second check technology.
R5005,C1513,Washing Machine,1,20-01-2023,Part laugh difficult long hundred rather base keep.
R5006,C1328,TV,5,06-05-2025,Make tax face same two street.
R5007,C1929,Mobile,5,29-05-2024,Analysis about goal bed both.
R5008,C1730,Mobile,1,26-06-2024,Nation easy professional notice read like network.
R5009,C1344,AC,2,28-11-2023,Set forward degree space yard visit great yet.
R5010,C1078,AC,5,04-07-2024,Pressure Mrs job professional themselves purpose building soon.
R5011,C1099,Keyboard,5,18-02-2024,Size true indicate reveal likely learn.
R5012,C1012,Shoes,5,23-05-2025,In his structure chair generation hope discuss fact start term.
R5013,C1003,Mouse,3,25-04-2025,Traditional media issue prove degree write attention available back quality.
R5014,C1891,TV,4,16-09-2025,Safe company none character traditional.
R5015,C1686,Washing Machine,2,15-11-2025,Kid understand born outside strong reach seek.
R5016,C1453,Mobile,2,17-11-2023,Morning raise behind agent natural.
R5017,C1749,Laptop,1,04-12-2022,Must what pressure past human term soldier final election.
R5018,C1466,Mouse,4,04-08-2023,Production beyond old author technology serious about world drug.
R5019,C1723,Shoes,4,11-09-2025,Test goal contain fight key another senior.
R5020,C1527,Shoes,4,23-04-2025,Minute goal prevent stage focus follow sure.
R5021,C1044,Charger,2,03-03-2025,Face according large experience every wonder everything fine.
R5022,C1198,Washing Machine,4,17-08-2025,Each soldier special vote whole writer step.
R5023,C1769,Earphones,4,19-03-2025,Police bank now recent hair read social special but coach.
R5024,C1453,Washing Machine,3,19-11-2025,Couple Republican focus check society local either themselves much drug.
R5025,C1788,Laptop,3,11-12-2023,Camera team take analysis process then.
R5026,C1771,Mobile,2,16-12-2022,Movement water little participant during age actually do remain.
R5027,C1869,Mouse,4,07-07-2025,Floor throughout to suffer what child if dark political professor east.
R5028,C1833,Mobile,4,02-10-2025,Force significant better be alone choose model alone tax whatever.
R5029,C1765,Earphones,5,08-11-2024,Movement fear rock evening lead spring gas much agreement including.
R5030,C1553,TV,5,07-10-2025,Ahead answer left return instead give never our view simply.
R5031,C1382,Mobile,5,10-10-2024,Each always agent inside these point level word policy on.
R5032,C1101,Earphones,2,11-05-2024,Sea exactly sing once wife similar player.
R5033,C1102,TV,4,20-10-2024,White level ahead resource listen per cell assume doctor TV.
R5034,C1224,TV,1,07-08-2024,Summer through wide performance ago medical capital close.
R5035,C1696,Mouse,2,19-08-2023,Exactly policy yard enjoy in.
R5036,C1245,Mouse,3,24-01-2024,Song what benefit particular shoulder movement low.
R5037,C1837,Shoes,1,16-07-2023,Drug result along large camera sure local seat cell.
R5038,C1067,Washing Machine,3,09-07-2023,Bring budget ask thus allow everyone protect store natural form.
R5039,C1005,TV,5,22-11-2025,Painting truth morning much town experience material head market.
R5040,C1873,Charger,4,05-11-2024,Including approach pay year something soon measure near.
R5041,C1255,Earphones,1,20-05-2024,Coach affect true care approach.
R5042,C1517,Earphones,3,05-11-2023,Method politics rule successful relationship event.
R5043,C1109,Keyboard,2,05-06-2024,Modern ability air environmental dog itself through senior consumer.
R5044,C1501,Mouse,1,06-10-2024,Finally author audience by off modern least could.
R5045,C1509,AC,2,03-11-2023,Remember property themselves so above hit family building west.
R5046,C1744,Shoes,1,30-08-2024,Past catch thank yeah develop who.
R5047,C1816,Keyboard,4,18-08-2024,When shake add movie conference father evidence.
R5048,C1236,Mobile,1,20-08-2025,Anyone interview eight yeah in first actually laugh ago.
R5049,C1817,Keyboard,4,20-10-2024,Land dark eight exist quite pick financial wall rate.
R5050,C1295,Shoes,5,18-10-2025,Time brother today family student spend many piece.
R5051,C1515,TV,2,24-04-2025,Get create public trial across how it nothing.
R5052,C1061,Earphones,5,31-08-2024,Expect many poor himself media eye standard lead identify.
R5053,C1263,Earphones,3,28-10-2025,Smile method short quite thus stay.
R5054,C1021,TV,3,06-04-2024,Will eat all safe dog watch thousand little.
R5055,C1840,Laptop,2,08-01-2024,Fine go seek serve edge any leave draw.
R5056,C1819,Clothes,5,18-11-2024,Loss act responsibility instead who performance crime individual side treatment.
R5057,C1990,AC,2,21-10-2025,Right still enjoy minute foreign us.
R5058,C1745,TV,5,19-07-2024,You matter quite whom nice college.
R5059,C1334,TV,3,25-10-2024,World any future class finally improve sea recognize.
R5060,C1330,AC,2,02-05-2024,Around let happy none believe sell rise.
R5061,C1796,Mouse,5,18-11-2023,Mind system hot can year kind me together site.
R5062,C1071,Earphones,5,07-03-2023,Eight interview really Congress billion continue owner up soldier see.
R5063,C1230,TV,2,28-03-2025,Personal front officer force easy federal seat agent himself not.
R5064,C1556,Washing Machine,2,20-07-2024,Continue doctor half expert any cut arrive able including.
R5065,C1634,Charger,2,23-08-2023,Modern this prepare ball clear.
R5066,C1694,Keyboard,5,08-04-2023,Writer couple serious west capital at life feel action debate per.
R5067,C1048,Washing Machine,3,14-02-2024,Type production follow want no right job eat sit.
R5068,C1250,Washing Machine,1,22-11-2025,Military goal party any especially claim stage raise option.
R5069,C1109,Keyboard,2,10-06-2025,Finish skin whether because experience everything join drop.
R5070,C1614,Washing Machine,2,06-08-2023,What cost song act American.
R5071,C1230,Keyboard,1,29-12-2023,Change heavy term western strategy focus inside loss someone big.
R5072,C1462,Charger,2,11-05-2025,Everyone PM bring his man never institution station energy eight.
R5073,C1938,Clothes,5,28-07-2025,Vote friend even already over street.
R5074,C1556,Washing Machine,5,13-12-2022,Machine describe pick maybe.
R5075,C1646,Keyboard,5,16-07-2025,Myself final the real their page I shoulder sea responsibility.
R5076,C1208,AC,3,25-06-2025,Here able go establish.
R5077,C1282,Laptop,4,18-09-2025,I inside little public yet meeting.
R5078,C1854,Mouse,3,18-07-2023,Single night debate matter.
R5079,C1039,Mouse,1,15-03-2025,Mean last quite remain human relate.
R5080,C1639,Mouse,1,16-11-2023,Only speech necessary here close business especially seat election itself.
R5081,C1863,AC,5,10-11-2024,Peace purpose live plan old animal week she almost.
R5082,C1221,Mouse,4,04-03-2023,Able best data cause your set.
